date,weekday,direction,sweep,uptrend,result,pnl_pts
2025-02-07,Viernes,BUY,BAJO,True,WIN,51.2
2025-02-07,Viernes,SELL,ALTO,True,LOSS,-61.5
2025-02-11,Martes,BUY,BAJO,True,WIN,49.9
2025-02-12,Miércoles,BUY,BAJO,True,FLAT,97.8
2025-02-12,Miércoles,SELL,ALTO,True,WIN,167.8
2025-02-13,Jueves,BUY,BAJO,True,WIN,83.8
2025-02-14,Viernes,BUY,BAJO,True,WIN,68.6
2025-02-19,Miércoles,BUY,BAJO,True,LOSS,-42.4
2025-02-20,Jueves,SELL,ALTO,False,LOSS,-9.5
2025-02-21,Viernes,SELL,ALTO,True,WIN,98.9
2025-02-24,Lunes,SELL,ALTO,False,WIN,48.4
2025-02-25,Martes,BUY,BAJO,False,LOSS,-53.0
2025-02-25,Martes,SELL,ALTO,False,WIN,110.5
2025-02-26,Miércoles,BUY,BAJO,False,LOSS,-9.4
2025-02-26,Miércoles,SELL,ALTO,False,WIN,46.8
2025-02-27,Jueves,SELL,ALTO,False,WIN,79.6
2025-02-28,Viernes,SELL,ALTO,True,WIN,70.0
2025-03-03,Lunes,SELL,ALTO,False,LOSS,-68.2
2025-03-04,Martes,BUY,BAJO,False,LOSS,-102.6
2025-03-05,Miércoles,BUY,BAJO,False,LOSS,-63.2
2025-03-05,Miércoles,SELL,ALTO,False,WIN,120.4
2025-03-06,Jueves,BUY,BAJO,False,LOSS,-27.9
2025-03-07,Viernes,BUY,BAJO,True,LOSS,-75.0
2025-03-07,Viernes,SELL,ALTO,True,WIN,101.6
2025-03-10,Lunes,BUY,BAJO,False,LOSS,-11.7
2025-03-11,Martes,SELL,ALTO,False,LOSS,-14.6
2025-03-12,Miércoles,SELL,ALTO,False,WIN,254.3
2025-03-13,Jueves,SELL,ALTO,False,WIN,130.5
2025-03-14,Viernes,SELL,ALTO,True,LOSS,-58.9
2025-03-17,Lunes,SELL,ALTO,False,LOSS,0.0
2025-03-18,Martes,BUY,BAJO,True,LOSS,-26.6
2025-03-18,Martes,SELL,ALTO,True,WIN,66.6
2025-03-19,Miércoles,SELL,ALTO,True,LOSS,-5.2
2025-03-20,Jueves,BUY,BAJO,False,WIN,247.5
2025-03-24,Lunes,SELL,ALTO,True,LOSS,0.0
2025-03-25,Martes,BUY,BAJO,True,WIN,92.5
2025-03-25,Martes,SELL,ALTO,True,LOSS,-74.0
2025-03-26,Miércoles,BUY,BAJO,True,LOSS,-27.4
2025-03-27,Jueves,BUY,BAJO,False,LOSS,-40.8
2025-03-31,Lunes,BUY,BAJO,False,LOSS,-67.7
2025-03-31,Lunes,SELL,ALTO,False,WIN,71.8
2025-04-01,Martes,BUY,BAJO,False,WIN,106.5
2025-04-01,Martes,SELL,ALTO,False,WIN,106.5
2025-04-02,Miércoles,BUY,BAJO,False,LOSS,-89.8
2025-04-03,Jueves,BUY,BAJO,False,LOSS,-132.8
2025-04-03,Jueves,SELL,ALTO,False,WIN,166.0
2025-04-04,Viernes,BUY,BAJO,True,LOSS,-342.0
2025-04-07,Lunes,SELL,ALTO,False,LOSS,-63.8
2025-04-08,Martes,SELL,ALTO,True,LOSS,-125.8
2025-04-10,Jueves,BUY,BAJO,True,LOSS,-57.9
2025-04-11,Viernes,BUY,BAJO,True,LOSS,-192.3
2025-04-14,Lunes,BUY,BAJO,True,LOSS,-54.6
