Date,Close,High,Low,Open,Volume,fvg_bull,fvg_bear,range_hi,range_lo,equilibrium,is_discount,is_premium,prev_low,prev_high,liquidity_sweep_bull,liquidity_sweep_bear,vol_ma,high_vol,is_down,bullish_ob,ret_5d
2021-06-23,14274.240234375,14324.740234375,14247.580078125,14275.08984375,4417470000,True,False,14324.740234375,13469.849609375,13897.294921875,False,True,14128.009765625,14288.490234375,False,True,4795290000.0,False,True,False,0.0196549564604398
2021-06-24,14365.9599609375,14429.1396484375,14337.650390625,14358.2998046875,4324620000,False,False,14429.1396484375,13469.849609375,13949.49462890625,False,True,14247.580078125,14324.740234375,False,False,4798296000.0,False,False,False,0.01351039848904989
2021-06-25,14345.1796875,14401.7099609375,14324.259765625,14396.6298828125,7468090000,False,False,14429.1396484375,13469.849609375,13949.49462890625,False,True,14337.650390625,14429.1396484375,True,False,4917341500.0,True,True,False,0.02666053710332794
2021-06-28,14524.98046875,14530.0703125,14400.58984375,14401.6298828125,4283000000,True,False,14530.0703125,13469.849609375,13999.9599609375,False,True,14324.259765625,14401.7099609375,False,False,4909094500.0,False,False,False,0.01799519685240547
2021-06-29,14572.75,14575.1904296875,14481.849609375,14523.6298828125,4901300000,True,False,14575.1904296875,13469.849609375,14022.52001953125,False,True,14400.58984375,14530.0703125,False,False,4944845500.0,False,False,False,0.01631744448113781
2021-06-30,14554.7998046875,14582.2998046875,14530.8701171875,14560.0703125,5293810000,False,False,14582.2998046875,13469.849609375,14026.07470703125,False,True,14481.849609375,14575.1904296875,False,True,4954654500.0,True,True,False,0.01149722744356163
2021-07-01,14560.0498046875,14576.6396484375,14483.419921875,14530.6298828125,4410470000,True,False,14582.2998046875,13613.580078125,14097.93994140625,False,True,14530.8701171875,14582.2998046875,True,False,4905365500.0,False,False,False,0.01827191820297558
2021-07-02,14727.6298828125,14738.1396484375,14626.8203125,14633.509765625,3751420000,True,False,14738.1396484375,13710.1103515625,14224.125,False,True,14483.419921875,14576.6396484375,False,False,4874901000.0,False,False,False,0.010202576166064459
2021-07-06,14786.3603515625,14797.4501953125,14635.3095703125,14755.150390625,4489540000,False,False,14797.4501953125,13746.419921875,14271.93505859375,False,True,14626.8203125,14738.1396484375,False,False,4867417500.0,False,False,False,0.00596358301863531
2021-07-07,14810.5400390625,14891.1904296875,14735.75,14889.759765625,4605630000,False,False,14891.1904296875,13811.0498046875,14351.1201171875,False,True,14635.3095703125,14797.4501953125,False,False,4799778500.0,False,True,False,0.006070027857720817
2021-07-08,14722.1396484375,14763.669921875,14551.759765625,14577.669921875,4575010000,False,False,14891.1904296875,13817.830078125,14354.51025390625,False,True,14735.75,14891.1904296875,False,False,4746504500.0,False,False,False,0.004928005234463351
2021-07-09,14826.08984375,14838.7197265625,14685.5400390625,14709.3203125,3826500000,True,False,14891.1904296875,13843.599609375,14367.39501953125,False,True,14551.759765625,14763.669921875,False,False,4691835500.0,False,False,False,-0.009760493998254294
2021-07-12,14877.8896484375,14899.4599609375,14813.7900390625,14878.7099609375,3897090000,True,False,14899.4599609375,13843.599609375,14371.52978515625,False,True,14685.5400390625,14838.7197265625,False,False,4678811000.0,False,True,False,-0.022099895378779766
2021-07-13,14874.5400390625,15002.2802734375,14843.7998046875,14871.0400390625,4583460000,False,False,15002.2802734375,13843.599609375,14422.93994140625,False,True,14813.7900390625,14899.4599609375,False,True,4687226000.0,False,False,False,-0.0098376203728463
2021-07-14,14900.4404296875,15001.1298828125,14871.73046875,14984.8603515625,4496220000,False,False,15002.2802734375,13843.599609375,14422.93994140625,False,True,14843.7998046875,15002.2802734375,False,False,4684308000.0,False,True,False,-0.003879787792031908
2021-07-15,14794.6904296875,14907.509765625,14717.5498046875,14903.490234375,4512550000,False,False,15002.2802734375,13946.51953125,14474.39990234375,False,True,14871.73046875,15001.1298828125,False,False,4675784000.0,False,True,False,0.009833223133589586
2021-07-16,14681.3798828125,14875.9697265625,14667.099609375,14842.080078125,4069530000,False,True,15002.2802734375,13967.8896484375,14485.0849609375,False,True,14717.5498046875,14907.509765625,False,False,4651346500.0,False,True,False,0.02931673723352679
2021-07-19,14549.08984375,14578.9599609375,14455.0703125,14517.9599609375,4537130000,False,False,15002.2802734375,13967.8896484375,14485.0849609375,False,True,14667.099609375,14875.9697265625,False,False,4571899500.0,False,False,False,0.03964923976397783
2021-07-20,14728.2099609375,14790.599609375,14530.7802734375,14601.33984375,4652450000,True,False,15002.2802734375,14128.009765625,14565.14501953125,False,True,14455.0703125,14578.9599609375,False,False,4576421500.0,True,False,False,0.015532082054215746
