Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2026-01-07 05:15:00+00:00,25784.5,25790.0,25780.5,25787.5,373
2026-01-07 05:30:00+00:00,25783.5,25794.25,25782.75,25785.0,560
2026-01-07 05:45:00+00:00,25783.5,25786.0,25779.0,25783.0,538
2026-01-07 06:00:00+00:00,25797.5,25798.5,25782.75,25782.75,617
2026-01-07 06:15:00+00:00,25785.5,25799.75,25783.5,25798.25,726
2026-01-07 06:30:00+00:00,25771.5,25792.75,25768.75,25785.5,785
2026-01-07 06:45:00+00:00,25769.25,25777.75,25768.25,25772.5,708
2026-01-07 07:00:00+00:00,25772.25,25776.75,25764.75,25768.75,723
2026-01-07 07:15:00+00:00,25776.0,25779.5,25771.0,25772.0,551
2026-01-07 07:30:00+00:00,25768.75,25775.75,25766.5,25775.0,444
2026-01-07 07:45:00+00:00,25766.5,25776.25,25765.0,25769.5,469
2026-01-07 08:00:00+00:00,25774.5,25778.75,25759.5,25766.0,1528
2026-01-07 08:15:00+00:00,25770.25,25788.0,25768.75,25775.0,963
2026-01-07 08:30:00+00:00,25772.25,25775.0,25765.0,25770.75,1036
2026-01-07 08:45:00+00:00,25753.75,25775.75,25753.5,25772.0,1057
2026-01-07 09:00:00+00:00,25743.75,25758.75,25732.0,25753.75,3088
2026-01-07 09:15:00+00:00,25744.25,25748.0,25727.0,25744.0,1426
2026-01-07 09:30:00+00:00,25750.75,25755.25,25740.25,25744.25,1398
2026-01-07 09:45:00+00:00,25753.0,25757.75,25747.75,25751.0,583
2026-01-07 10:00:00+00:00,25758.75,25762.0,25744.0,25752.5,937
2026-01-07 10:15:00+00:00,25735.25,25759.0,25734.25,25758.75,869
2026-01-07 10:30:00+00:00,25733.0,25741.5,25729.25,25735.25,701
2026-01-07 10:45:00+00:00,25739.5,25740.0,25727.75,25733.75,763
2026-01-07 11:00:00+00:00,25744.75,25748.75,25732.0,25740.25,850
2026-01-07 11:15:00+00:00,25742.0,25749.75,25739.25,25744.5,649
2026-01-07 11:30:00+00:00,25758.0,25764.5,25740.5,25742.25,1646
2026-01-07 11:45:00+00:00,25768.0,25768.5,25756.5,25757.5,852
2026-01-07 12:00:00+00:00,25772.5,25781.5,25762.5,25768.0,1565
2026-01-07 12:15:00+00:00,25774.5,25782.25,25769.5,25771.5,1002
2026-01-07 12:30:00+00:00,25767.5,25774.75,25753.0,25774.0,1745
2026-01-07 12:45:00+00:00,25766.25,25778.0,25759.25,25767.0,1123
2026-01-07 13:00:00+00:00,25763.0,25768.75,25755.25,25765.0,1545
2026-01-07 13:15:00+00:00,25775.0,25776.0,25762.75,25762.75,2114
2026-01-07 13:30:00+00:00,25790.75,25793.75,25766.0,25775.75,3662
2026-01-07 13:45:00+00:00,25788.75,25790.5,25772.25,25790.25,2547
2026-01-07 14:00:00+00:00,25772.75,25789.25,25761.5,25788.25,3601
2026-01-07 14:15:00+00:00,25790.75,25791.25,25763.25,25772.5,5273
2026-01-07 14:30:00+00:00,25854.75,25864.25,25771.0,25790.25,37488
2026-01-07 14:45:00+00:00,25855.0,25880.0,25840.5,25854.5,21080
2026-01-07 15:00:00+00:00,25859.25,25870.5,25812.25,25857.25,21480
2026-01-07 15:15:00+00:00,25866.75,25875.75,25822.5,25859.5,18020
2026-01-07 15:30:00+00:00,25854.0,25902.25,25810.75,25866.0,27857
2026-01-07 15:45:00+00:00,25905.75,25911.25,25851.0,25854.75,14004
2026-01-07 16:00:00+00:00,25924.25,25927.5,25902.75,25905.0,11577
2026-01-07 16:15:00+00:00,25895.75,25929.25,25879.25,25924.5,13405
2026-01-07 16:30:00+00:00,25942.5,25944.5,25890.0,25895.25,14197
2026-01-07 16:45:00+00:00,25970.0,25971.0,25939.25,25942.75,17877
2026-01-07 17:00:00+00:00,25976.0,25988.25,25964.25,25970.25,13914
2026-01-07 17:15:00+00:00,25984.25,25990.0,25969.5,25975.75,8673
2026-01-07 17:30:00+00:00,25993.75,25996.25,25975.0,25984.5,7780
2026-01-07 17:45:00+00:00,25971.0,25996.25,25960.0,25993.75,11657
2026-01-07 18:00:00+00:00,25961.0,25972.0,25947.75,25971.0,8284
2026-01-07 18:15:00+00:00,25930.25,25961.75,25926.0,25961.25,12621
2026-01-07 18:30:00+00:00,25969.5,25972.25,25929.0,25930.5,12249
2026-01-07 18:45:00+00:00,25955.5,25979.0,25950.5,25969.25,7650
2026-01-07 19:00:00+00:00,25919.25,25956.25,25901.0,25956.0,13544
2026-01-07 19:15:00+00:00,25899.25,25922.0,25890.0,25919.25,11969
2026-01-07 19:30:00+00:00,25914.5,25921.25,25891.75,25899.5,9596
2026-01-07 19:45:00+00:00,25902.75,25917.75,25901.0,25914.75,5695
2026-01-07 20:00:00+00:00,25870.0,25913.5,25864.0,25902.75,12426
2026-01-07 20:15:00+00:00,25860.75,25887.5,25852.5,25869.75,14987
2026-01-07 20:30:00+00:00,25832.5,25862.25,25814.5,25860.25,17268
2026-01-07 20:45:00+00:00,25834.25,25847.0,25818.25,25833.0,22000
2026-01-07 21:00:00+00:00,25827.5,25836.0,25822.0,25834.75,7560
2026-01-07 21:15:00+00:00,25831.0,25835.5,25820.0,25827.0,2174
2026-01-07 21:30:00+00:00,25830.5,25832.75,25827.25,25830.25,1167
2026-01-07 21:45:00+00:00,25835.75,25839.25,25830.0,25830.75,2036
2026-01-07 23:00:00+00:00,25826.5,25849.75,25826.0,25838.75,823
2026-01-07 23:15:00+00:00,25830.0,25837.75,25823.25,25827.75,781
2026-01-07 23:30:00+00:00,25833.5,25835.25,25826.0,25830.0,400
2026-01-07 23:45:00+00:00,25822.75,25834.0,25818.75,25832.0,574
2026-01-08 00:00:00+00:00,25822.0,25825.75,25815.25,25822.75,613
2026-01-08 00:15:00+00:00,25810.5,25828.25,25805.75,25822.0,1046
2026-01-08 00:30:00+00:00,25833.25,25835.75,25810.0,25810.5,1207
2026-01-08 00:45:00+00:00,25842.5,25843.5,25833.25,25834.5,743
